,,,,,,,,
My Menu,My Menu 1,,,,,,
My Menu,My Menu 2,,,,,,
My Menu,My Menu 3,,,,,,
Shooting,Shooting Mode,Recall Camera Setting,?,,,,
Shooting,Shooting Mode,Camera Set. Memory,?,,,,
Shooting,Shooting Mode,Memory/Recall Media,Slot 1,,,,
Shooting,Shooting Mode,Memory/Recall Media,Slot 2,,,,
Shooting,Shooting Mode,Reg. Custom Shoot Set,Recall Custom hold 1,,,,
Shooting,Shooting Mode,Reg. Custom Shoot Set,Recall Custom hold 2,,,,
Shooting,Shooting Mode,Reg. Custom Shoot Set,Recall Custom hold 3,,,,
Shooting,USB Streaming,Res/Frame Rate,4K(2160p) 15,,,,
Shooting,USB Streaming,Res/Frame Rate,HD(1080p) 60p,,,,
Shooting,USB Streaming,Res/Frame Rate,HD(1080p) 30p,,,,
Shooting,USB Streaming,Res/Frame Rate,HD(720p) 30p,,,,
Shooting,USB Streaming,Movie Recording,Enable,,,,
Shooting,USB Streaming,Movie Recording,Disable,,,,
Shooting,Drive Mode,Drive Mode,Single Shooting,,,,
Shooting,Drive Mode,Drive Mode,Continuous Shooting: Lo,,,,
Shooting,Drive Mode,Drive Mode,Continuous Shooting: Mid,,,,
Shooting,Drive Mode,Drive Mode,Continuous Shooting: Hi,,,,
Shooting,Drive Mode,Drive Mode,Continuous Shooting: Hi+,,,,
Shooting,Drive Mode,Drive Mode,Self-timer(Single): 2 Sec,,,,
Shooting,Drive Mode,Drive Mode,Self-timer(Single): 5 Sec,,,,
Shooting,Drive Mode,Drive Mode,Self-timer(Single): 10 Sec,,,,
Shooting,Drive Mode,Drive Mode,Self-timer(Cont.): 2 Sec. 5 Img.,,,,
Shooting,Drive Mode,Drive Mode,Self-timer(Cont.): 2 Sec. 3 Img.,,,,
Shooting,Drive Mode,Drive Mode,Self-timer(Cont.): 5 Sec. 5 Img.,,,,
Shooting,Drive Mode,Drive Mode,Self-timer(Cont.): 5 Sec. 3 Img.,,,,
Shooting,Drive Mode,Drive Mode,Self-timer(Cont.): 10 Sec. 5 Img.,,,,
Shooting,Drive Mode,Drive Mode,Self-timer(Cont.): 10 Sec. 3 Img.,,,,
Shooting,Drive Mode,Drive Mode,Cont. Bracket: 3.0EV 5 Image,,,,
Shooting,Drive Mode,Drive Mode,Cont. Bracket: 3.0EV 3 Image,,,,
Shooting,Drive Mode,Drive Mode,Cont. Bracket: 2.0EV 5 Image,,,,
Shooting,Drive Mode,Drive Mode,Cont. Bracket: 2.0EV 3 Image,,,,
Shooting,Drive Mode,Drive Mode,Cont. Bracket: 1.0EV 9 Image,,,,
Shooting,Drive Mode,Drive Mode,Cont. Bracket: 1.0EV 5 Image,,,,
Shooting,Drive Mode,Drive Mode,Cont. Bracket: 1.0EV 3 Image,,,,
Shooting,Drive Mode,Drive Mode,Cont. Bracket: 0.7EV 9 Image,,,,
Shooting,Drive Mode,Drive Mode,Cont. Bracket: 0.7EV 5 Image,,,,
Shooting,Drive Mode,Drive Mode,Cont. Bracket: 0.7EV 3 Image,,,,
Shooting,Drive Mode,Drive Mode,Cont. Bracket: 0.5EV 9 Image,,,,
Shooting,Drive Mode,Drive Mode,Cont. Bracket: 0.5EV 5 Image,,,,
Shooting,Drive Mode,Drive Mode,Cont. Bracket: 0.5EV 3 Image,,,,
Shooting,Drive Mode,Drive Mode,Cont. Bracket: 0.3EV 9 Image,,,,
Shooting,Drive Mode,Drive Mode,Cont. Bracket: 0.3EV 5 Image,,,,
Shooting,Drive Mode,Drive Mode,Cont. Bracket: 0.3EV 3 Image,,,,
Shooting,Drive Mode,Drive Mode,Single Bracket: 3.0EV 5 Image,,,,
Shooting,Drive Mode,Drive Mode,Single Bracket: 3.0EV 3 Image,,,,
Shooting,Drive Mode,Drive Mode,Single Bracket: 2.0EV 5 Image,,,,
Shooting,Drive Mode,Drive Mode,Single Bracket: 2.0EV 3 Image,,,,
Shooting,Drive Mode,Drive Mode,Single Bracket: 1.0EV 9 Image,,,,
Shooting,Drive Mode,Drive Mode,Single Bracket: 1.0EV 5 Image,,,,
Shooting,Drive Mode,Drive Mode,Single Bracket: 1.0EV 3 Image,,,,
Shooting,Drive Mode,Drive Mode,Single Bracket: 0.7EV 9 Image,,,,
Shooting,Drive Mode,Drive Mode,Single Bracket: 0.7EV 5 Image,,,,
Shooting,Drive Mode,Drive Mode,Single Bracket: 0.7EV 3 Image,,,,
Shooting,Drive Mode,Drive Mode,Single Bracket: 0.5EV 9 Image,,,,
Shooting,Drive Mode,Drive Mode,Single Bracket: 0.5EV 5 Image,,,,
Shooting,Drive Mode,Drive Mode,Single Bracket: 0.5EV 3 Image,,,,
Shooting,Drive Mode,Drive Mode,Single Bracket: 0.3EV 9 Image,,,,
Shooting,Drive Mode,Drive Mode,Single Bracket: 0.3EV 5 Image,,,,
Shooting,Drive Mode,Drive Mode,Single Bracket: 0.3EV 3 Image,,,,
Shooting,Drive Mode,Drive Mode,White Balance Bracket: Hi,,,,
Shooting,Drive Mode,Drive Mode,White Balance Bracket: Lo,,,,
Shooting,Drive Mode,Drive Mode,DRO Bracket: Hi,,,,
Shooting,Drive Mode,Drive Mode,DRO Bracket: Lo,,,,
Shooting,Drive Mode,Bracket Settings,Selftimer during Bracket,Off,,,
Shooting,Drive Mode,Bracket Settings,Selftimer during Bracket,2 Sec,,,
Shooting,Drive Mode,Bracket Settings,Selftimer during Bracket,5 Sec,,,
Shooting,Drive Mode,Bracket Settings,Selftimer during Bracket,10 Sec,,,
Shooting,Drive Mode,Bracket Settings,Bracket order,0 -> - -> +,,,
Shooting,Drive Mode,Bracket Settings,Bracket order,- -> 0 -> +,,,
Shooting,Drive Mode,Interval Shoot Func.,Interval Shooting,Off,,,
Shooting,Drive Mode,Interval Shoot Func.,Interval Shooting,On,,,
Shooting,Drive Mode,Interval Shoot Func.,Shooting Start Time,0s - 99min 59s,,,
Shooting,Drive Mode,Interval Shoot Func.,Shooting Interval,1 - 60,,,
Shooting,Drive Mode,Interval Shoot Func.,Number of Shots,0 - 9999,,,
Shooting,Drive Mode,Interval Shoot Func.,AE Tracking Sensitivity,High,,,
Shooting,Drive Mode,Interval Shoot Func.,AE Tracking Sensitivity,Mid,,,
Shooting,Drive Mode,Interval Shoot Func.,AE Tracking Sensitivity,Low,,,
Shooting,Drive Mode,Interval Shoot Func.,Shutter Type in Interval,Mechanical Shutter,,,
Shooting,Drive Mode,Interval Shoot Func.,Shutter Type in Interval,Electronic Shutter,,,
Shooting,Drive Mode,Interval Shoot Func.,Shoot Interval Priority,Off,?,,
Shooting,Shutter / Silent,Silent Mode Settings,Silent Mode,On,,,
Shooting,Shutter / Silent,Silent Mode Settings,Silent Mode,Off,,,
Shooting,Shutter / Silent,Silent Mode Settings,Target Function Settings,Aperture Drive in AF,Not Target,,
Shooting,Shutter / Silent,Silent Mode Settings,Target Function Settings,Aperture Drive in AF,Standard,,
Shooting,Shutter / Silent,Silent Mode Settings,Target Function Settings,Aperture Drive in AF,Silent Priority,,
Shooting,Shutter / Silent,Silent Mode Settings,Target Function Settings,Shutter When Pwr OFF,Not Target,,
Shooting,Shutter / Silent,Silent Mode Settings,Target Function Settings,Shutter When Pwr OFF,Off,,
