First Level,Page,Second Level,Third Level,Option
SHOOT,1,Image Quality,RAW,-
SHOOT,1,Image Quality,RAW,RAW
SHOOT,1,Image Quality,RAW,M-RAW
SHOOT,1,Image Quality,RAW,S-RAW
SHOOT,1,Image Quality,JPEG,-
SHOOT,1,Image Quality,JPEG,L Fine
SHOOT,1,Image Quality,JPEG,L
SHOOT,1,Image Quality,JPEG,M Fine
SHOOT,1,Image Quality,JPEG,M
SHOOT,1,Image Quality,JPEG,S1 Fine
SHOOT,1,Image Quality,JPEG,S1
SHOOT,1,Image Quality,JPEG,S2
SHOOT,1,Image Quality,JPEG,S3
SHOOT,1,Dual Pixel RAW,Disable
SHOOT,1,Dual Pixel RAW,Enable
SHOOT,1,Image Review,Off
SHOOT,1,Image Review,2 sec.
SHOOT,1,Image Review,4 sec.
SHOOT,1,Image Review,8 sec.
SHOOT,1,Image Review,Hold
SHOOT,1,Beep,Enable
SHOOT,1,Beep,Touch to (mute)
SHOOT,1,Beep,Disable
SHOOT,1,Release Shutter Without Card,Enable
SHOOT,1,Release Shutter Without Card,Disable
SHOOT,1,Lens aberration correction,Peripheral illum corr,Enable
SHOOT,1,Lens aberration correction,Peripheral illum corr,Disable
SHOOT,1,Lens aberration correction,Distortion correction,Enable
SHOOT,1,Lens aberration correction,Distortion correction,Disable
SHOOT,1,Lens aberration correction,Digital Lens Optimizer,Enable
SHOOT,1,Lens aberration correction,Digital Lens Optimizer,Disable
SHOOT,1,Lens aberration correction,Chromatic aberr corr,Enable
SHOOT,1,Lens aberration correction,Chromatic aberr corr,Disable
SHOOT,1,Lens aberration correction,Diffraction correction,Enable
SHOOT,1,Lens aberration correction,Diffraction correction,Disable
SHOOT,1,External Speedlite control,Flash firing,Enable
SHOOT,1,External Speedlite control,Flash firing,Disable
SHOOT,1,External Speedlite control,E-TTL II meter.,Evaluative
SHOOT,1,External Speedlite control,E-TTL II meter.,Average
SHOOT,1,External Speedlite control,Flash sync. speed in Av mode,AUTO
SHOOT,1,External Speedlite control,Flash sync. speed in Av mode,1/200-1/60sec. auto
SHOOT,1,External Speedlite control,Flash sync. speed in Av mode,1/200sec. (fixed)
SHOOT,1,External Speedlite control,Flash function settings,?
SHOOT,1,External Speedlite control,Flash C.Fn settings,?
SHOOT,2,Exposure Compensation/AEB,±5 stops
SHOOT,2,ISO Speed Settings,ISO speed,Auto
SHOOT,2,ISO Speed Settings,ISO speed,100-32000
SHOOT,2,ISO Speed Settings,Range for stills,1000-32000
SHOOT,2,ISO Speed Settings,Auto range,1000-32000
SHOOT,2,ISO Speed Settings,Min. shutter spd.,1/8000-1"
SHOOT,2,Auto Lighting Optimizer,Disable
SHOOT,2,Auto Lighting Optimizer,Low
SHOOT,2,Auto Lighting Optimizer,Standard
SHOOT,2,Auto Lighting Optimizer,High
SHOOT,2,White Balance,Auto: Ambience priority
SHOOT,2,White Balance,Auto: White priority
SHOOT,2,White Balance,Daylight (Approx. 5200K)
SHOOT,2,White Balance,Shade (Approx. 7000K)
SHOOT,2,White Balance,Cloudy (Approx. 6000K)
SHOOT,2,White Balance,Tungsten (Approx. 3200K)
SHOOT,2,White Balance,Fluorescent (Approx. 4000K)
SHOOT,2,White Balance,Flash
SHOOT,2,White Balance,Custom
